rank,track,team,run_id,bt_rating,ci_low_95,ci_high_95,n_battles
66,en,arampageos,DUTH_Task4_EN_WEIGHTPOOL_TOP8,997,920,1061,120
67,en,arampageos,DUTH_Task4_EN_BUCKET_CAND_00,996,947,1047,149
68,en,arampageos,DUTH_Task4_EN_FROM8100_TOP12,996,942,1052,139
69,en,arampageos,DUTH_Task4_EN_LEAK_TOP1,996,938,1046,115
70,en,arampageos,DUTH_Task4_EN_BEST984_PLUS_TRAINSEL_TOP1_B12_03,996,938,1060,153
71,en,liana87,UBO_task3__qwen_pun,995,953,1039,299
72,en,arampageos,DUTH_Task4_EN_BEST1019_PLUS_TRAINSEL_TOP1_B12_10,989,934,1057,155
73,en,arampageos,DUTH_Task4_EN_BEST1019_DROP_SUB04,985,938,1045,134
74,en,ezrasmink,UAms_task4_Qwen2.5-32B-Instruct,984,938,1025,316
75,en,arampageos,DUTH_Task4_EN_BEST984_PLUS_TRAINSEL_TOP1_B12_07,979,927,1031,119
76,en,arampageos,DUTH_Task4_EN_BEST984_PLUS_TRAINSEL_TOP1_B12_06,976,897,1044,85
77,en,arampageos,DUTH_Task4_EN_BEST1019_DROP_SUB01,964,888,1007,150
78,en,arampageos,DUTH_Task4_EN_BUCKET_CAND_08,942,898,993,164
79,en,arampageos,DUTH_Task4_EN_BEST1019_PLUS_TRAINSEL_TOP1_B12_08,942,884,993,158
80,en,arampageos,DUTH_Task4_EN_QWEN14_EN_START_SELECTOR_ALL,937,902,975,327
81,en,ezrasmink,UAms_task4_Qwen2.5-14B-Instruct,927,882,959,341
82,en,arampageos,DUTH_Task4_BASELINE_EN_SAFE,924,881,967,304
83,en,arampageos,DUTH_Task4_EN_TRAINSEL_TOP12,923,877,959,328
84,en,ezrasmink,UAms_task4_Mistral-7B-Instruct-v0.2,922,882,952,341
85,en,arampageos,DUTH_Task4_EN_TRAINSEL_TOP1,913,875,952,318
86,en,arampageos,DUTH_Task4_EN_TRAINSEL_TOP5,907,864,943,326
87,en,liana87,UBO_task3_mistral_pun,903,869,937,343
88,en,arampageos,DUTH_Task4_EN_TRAINSEL_BUCKET_00,902,863,939,310
89,en,liana87,UBO_task3_gemma_pun,895,851,929,360
90,en,arampageos,DUTH_Task4_EN_TRAINSEL_TOP40,891,844,928,267
91,en,arampageos,DUTH_Task4_BASELINE_EN_TOP80,851,808,891,302
92,en,liana87,UBO_task3_llama_pun,816,765,858,316
93,en,zero0,UAms_Task4_Gemma2_B,734,658,774,312
94,en,zero0,UAms_Task4_Gemma2_A,727,678,773,301
95,en,zero0,UAms_Task4_T5ptft,591,528,634,340
96,en,ezrasmink,UAms_task4_flan-t5-large,549,469,607,326
97,en,zero0,UAms_Task4_T5ft,541,467,612,351
98,en,ezrasmink,UAms_task4_flan-t5-base,422,328,466,327
